record_id,admin_region,basin,altitude_masl,altitudinal_belt,site_name,unit,sub_unit,c14_lab_code,material,material_detail,c14_bp,c14_error,d13C_ams,reference_short,context_domestic,context_funerary,context_agriculture,context_other,c14_cal_from,c14_cal_to,c14_cal_median,ecozone
210,Tarapacá,Arheic coast,30.0,Coast,Patache G ,T-1 ,-,GX-22431 ,Animal,Camelid fiber ,2145,75,-,Urbina et al. 2011,,X,,,2320,1890,2080,Coast
211,Tarapacá,Arheic coast,20.0,Coast,Patache J ,E-II ,-,GX-22432 ,Vegetal,Charcoal,3995,145,-,"Moragas 2007 C.P., in Gayó et al. 2015",X,,,,4830,3990,4420,Coast
212,Tarapacá,Arheic coast,20.0,Coast,Patache J ,E-III ,-,GX-22433 ,Vegetal,Charcoal,6370,110,-,"Moragas 2007 C.P., in Gayó et al. 2015",X,,,,7470,6960,7250,Coast
213,Tarapacá,Arheic coast,30.0,Coast,Patache M ,E-III ,-,GX-22434 ,Vegetal,Charcoal,2870,145,-,Urbina et al. 2011,X,,,,3380,2720,2980,Coast
214,Tarapacá,Arheic coast,40.0,Coast,Patache N ,E-II ,-,GX-22435 ,Vegetal,Charcoal,2575,90,-,Urbina et al. 2011,X,,,,2840,2350,2590,Coast
215,Tarapacá,Arheic coast,40.0,Coast,Patache P ,E-II ,-,GX-22436 ,Vegetal,Charcoal,3210,145,-,Urbina et al. 2011,X,,,,3820,2970,3380,Coast
216,Tarapacá,Arheic coast,20.0,Coast,Patache Q ,T-11 ,-,GX-22437 ,Animal,Camelid fiber ,885,70,-,"Moragas 2007 C.P., in Gayó et al. 2015",,X,,,910,670,760,Coast
217,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0414,A03827,OxA-32817,Textile,Textile,908,33,-,Santana-Sagredo et al. 2017,,X,,,900,680,770,Lowlands
218,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0414,-,OxA-33425,Human,Human bone colagen,1035,27,-,Santana-Sagredo et al. 2017,,X,,,960,800,880,Lowlands
219,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0415,-,OxA-33426,Human,Human bone colagen,896,30,-,Santana-Sagredo et al. 2017,,X,,,900,680,760,Lowlands
220,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0415*,-,OxA-32818,Textile,Textile,900,32,-,Santana-Sagredo et al. 2017,,X,,,900,680,760,Lowlands
221,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0419,-,V-2648-35,Human,Human bone colagen,1041,25,-,Santana-Sagredo et al. 2017,,X,,,960,800,910,Lowlands
222,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0420,-,V-2645-51,Human,Human bone colagen,744,24,-,Santana-Sagredo et al. 2017,,X,,,680,570,650,Lowlands
223,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0420*,-,OxA-32820,Textile,Textile,634,32,-,Santana-Sagredo et al. 2017,,X,,,650,540,600,Lowlands
224,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0424,-,V-2645-52,Human,Human bone colagen,1199,25,-,Santana-Sagredo et al. 2017,,X,,,1180,960,1030,Lowlands
225,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0426,-,V-2645-53,Human,Human bone colagen,819,24,-,Santana-Sagredo et al. 2017,,X,,,730,670,700,Lowlands
226,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0431,-,X-2645-54,Human,Human bone colagen,1192,25,-,Santana-Sagredo et al. 2017,,X,,,1180,960,1020,Lowlands
227,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0444,-,OxA-33427,Human,Human bone colagen,978,28,-,Santana-Sagredo et al. 2017,,X,,,920,770,850,Lowlands
228,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0444*,-,OxA-32821,Textile,Textile,869,33,-,Santana-Sagredo et al. 2017,,X,,,790,680,730,Lowlands
