site_name,lat,lon,altitude_masl,locality,admin_region,ecozone,period,period_from,period_to
Azapa 8,-18.5119,-70.1787,357.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Late Intermediate Period/Late Period,1450.0,1540.0
Azapa 8 (AZ-8),-18.5119,-70.1787,357.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Late Intermediate/ Late Period (Northern Chile),1100.0,1476.0
Azapa Valley,-18.5222,-70.108611,360.0,San Miguel de Azapa,Arica y Parinacota,Lowlands,Modern,,
Bajo Molle Edificio Armada,-20.2917,-70.1253,37.0,Iquique,Tarapacá,Coast,Late Intermediate Period (Northern Chile),900.0,1450.0
Calar,-22.8244,-68.0076,3398.0,Northeast of San Pedro de Atacama Oasis,Antofagasta,Precordillera,Formative Period (Northern Chile),-200.0,-200.0
Calate,-21.279813,-69.922223,1030.0,"Cordillera de la costa, north of Loa Valley",Tarapacá,Lowlands,Middle Formative/Late Intermediate (Northern Chile),-500.0,1400.0
Caleta Buena,-25.4817,-70.5323,15.0,Taltal area,Antofagasta,Coast,Middle Horizon (Northern Chile),250.0,950.0
Caleta Huelén 2,-21.4319,-70.0487,20.0,Lower Loa Valley,Tarapacá,Coast,Formative Period (Northern Chile),-1000.0,500.0
Caleta Huelén 20,-21.4319,-70.0487,20.0,Lower Loa Valley,Tarapacá,Coast,Formative Period (Northern Chile),-1000.0,500.0
Caleta Huelén 7,-21.4319,-70.0487,20.0,Lower Loa Valley,Tarapacá,Coast,Formative Period (Northern Chile),-1000.0,500.0
Caleta Punta Arenas,-21.6358,-70.1409,11.0,"Caleta Punta Arenas, Tocopilla, Coast of",Antofagasta,Coast,Late Intermediate Period (Northern Chile),900.0,1485.0
Caleta Vitor,-18.757965,-70.333852,5.0,"Quebrada Chaca mouth, 25 km south of Arica",Arica y Parinacota,Coast,Formative Period (Northern Chile),-2050.0,450.0
Camarones,-19.19612,-70.265518,64.0,Lower Camarones Valley,Arica y Parinacota,Coast,Modern,,
Camarones 15,-19.196289,-70.265153,94.0,Lower Camarones Valley,Arica y Parinacota,Coast,Early Formative Period (Northern Chile),-1700.0,-500.0
Camarones 15C,-19.202842,-70.268303,31.0,Lower Camarones Valley,Arica y Parinacota,Coast,Early Formative (Northern Chile),-1500.0,-500.0
Camarones 15D,-19.202633,-70.267618,66.0,Lower Camarones Valley,Arica y Parinacota,Coast,Late Archaic (Northern Chile),-3000.0,-1500.0
Camarones 17,-19.194182,-70.264011,38.0,Lower Camarones Valley,Arica y Parinacota,Coast,Middle Archaic (Northern Chile),-5000.0,-3000.0
Camarones 8,-19.191619,-70.260076,44.0,Lower Camarones Valley,Arica y Parinacota,Coast,Middle Archaic (Northern Chile),-5000.0,-3000.0
Camarones 9,-19.19287,-70.262631,43.0,Lower Camarones Valley,Arica y Parinacota,Coast,Late Period (Northern Chile),1450.0,1532.0
